cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
x,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
x,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
x,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
b,f,w,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,n,g
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
x,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
x,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d
b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
x,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g
k,s,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g
x,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
x,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
x,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
f,s,p,t,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,g
x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
x,y,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
x,s,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
f,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g
f,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g
x,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
x,y,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
x,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
x,y,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
f,y,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
f,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g
k,s,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
f,y,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
f,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,c,l
x,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d
x,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p
x,f,g,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g
f,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g
x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
x,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d
k,y,e,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
k,s,n,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
f,s,w,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,g
f,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d
f,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p
x,y,n,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
f,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
x,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g
f,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
x,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
x,s,g,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,g
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
k,f,c,f,n,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
x,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
x,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,y,v,l
x,s,n,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p
x,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
x,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
f,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d
x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,y,v,l
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
f,y,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p
f,s,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
x,f,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g
f,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
f,y,e,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p
x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
f,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
x,s,b,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,u
x,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g
f,s,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
x,y,e,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
f,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d
x,s,b,t,n,f,c,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w
f,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
x,s,w,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g
k,y,e,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
f,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d
k,s,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
x,s,n,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
x,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
x,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
f,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
x,y,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
f,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,n,o,p,n,c,l
x,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d
x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g
x,s,w,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,u
k,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,c,l
b,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,y,c,l
x,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
f,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
f,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
x,y,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
f,s,b,t,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
f,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
f,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
f,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
f,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d
f,s,b,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g
f,y,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
f,y,p,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g
f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d
f,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
x,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
f,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
x,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
x,s,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g
f,s,w,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,g
k,s,e,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
x,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d
b,y,n,f,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
f,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d
x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
f,s,e,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
f,s,n,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
x,y,n,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
x,s,w,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,s,g
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g
k,s,e,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
x,s,n,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
f,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p
f,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d
x,s,b,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,v,u
x,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d
k,y,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
k,y,n,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
f,s,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
f,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
f,y,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
f,y,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
x,s,w,f,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,s,g
k,f,g,f,n,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,n,g
f,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d
x,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
x,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
k,y,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
x,y,e,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
f,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
x,s,b,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,g
f,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d
x,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
f,s,n,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
x,s,n,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
f,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d
f,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d
f,y,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d
f,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
f,s,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
x,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
f,s,b,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,v,u
x,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d
x,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
f,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
f,s,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
f,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
f,y,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
x,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
x,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,d
x,f,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d
x,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d
k,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,n,c,l
f,s,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
x,s,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
k,y,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
x,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
f,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d
f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p
x,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
x,y,e,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
x,y,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
f,s,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p
x,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
x,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g
f,s,b,t,n,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w
x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g
x,s,w,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,v,u
k,y,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
x,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
x,y,n,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
k,y,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
x,y,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g
k,y,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
f,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
x,s,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
f,s,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p
f,s,n,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,y,v,l
f,s,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
k,s,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
f,y,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
x,s,n,f,n,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,p
k,y,n,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
x,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d
x,s,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
f,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d
x,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d
f,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
f,s,n,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
f,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d
f,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
k,f,w,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g
f,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d
x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
x,s,e,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
f,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g
b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
f,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p
x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
f,s,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
x,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
f,f,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
k,f,w,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,n,g
k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,n,c,l
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
f,s,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
f,y,e,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
x,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g
f,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p
x,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
f,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g
x,s,n,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
x,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d
f,y,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g
x,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d
x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
f,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g
k,s,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
b,y,p,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g
f,s,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
x,f,g,f,n,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,n,g
x,s,g,f,n,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,s,g
f,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g
x,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
k,s,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p
f,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,b,v,l
f,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d
x,s,n,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
x,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d
f,s,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
f,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
x,s,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
x,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d
x,s,n,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
x,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
x,s,g,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
f,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,o,c,l
x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g
f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
k,y,n,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
x,y,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d
f,y,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
b,f,y,f,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
x,y,u,f,n,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,y,d
x,f,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d
f,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g
f,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d
x,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
x,f,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
x,f,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d
x,y,n,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
x,y,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
